ip,fqdn
23.186.168.129,us.pool.ntp.org
23.186.168.130,0.north-america.pool.ntp.org
23.186.168.130,0.us.pool.ntp.org
23.186.168.130,2.us.pool.ntp.org
23.186.168.130,3.us.pool.ntp.org
23.186.168.130,us.pool.ntp.org
23.186.168.131,0.north-america.pool.ntp.org
23.186.168.131,1.us.pool.ntp.org
23.186.168.131,2.north-america.pool.ntp.org
23.186.168.131,2.us.pool.ntp.org
23.186.168.131,us.pool.ntp.org
23.186.168.132,0.north-america.pool.ntp.org
23.186.168.132,1.north-america.pool.ntp.org
23.186.168.132,2.us.pool.ntp.org
23.186.168.132,3.us.pool.ntp.org
23.186.168.132,us.pool.ntp.org
23.186.168.133,0.north-america.pool.ntp.org
23.186.168.133,2.us.pool.ntp.org
23.186.168.133,us.pool.ntp.org
23.238.12.134,3.us.pool.ntp.org
24.51.100.18,0.bs.pool.ntp.org
24.51.100.18,1.bs.pool.ntp.org
24.51.100.18,2.bs.pool.ntp.org
24.51.100.18,3.bs.pool.ntp.org
24.51.100.18,bs.pool.ntp.org
24.63.87.46,0.north-america.pool.ntp.org
24.63.87.46,3.north-america.pool.ntp.org
24.63.87.46,us.pool.ntp.org
24.111.79.186,0.north-america.pool.ntp.org
24.111.79.186,2.us.pool.ntp.org
24.111.79.186,3.north-america.pool.ntp.org
24.111.79.186,us.pool.ntp.org
24.249.17.252,0.north-america.pool.ntp.org
24.249.17.252,2.us.pool.ntp.org
24.249.17.252,us.pool.ntp.org
24.249.17.253,0.north-america.pool.ntp.org
24.249.17.253,0.us.pool.ntp.org
24.249.17.253,2.north-america.pool.ntp.org
24.249.17.253,2.us.pool.ntp.org
24.249.17.253,3.north-america.pool.ntp.org
24.249.17.253,3.us.pool.ntp.org
24.249.17.253,us.pool.ntp.org
27.54.117.72,0.id.pool.ntp.org
27.54.117.72,1.asia.pool.ntp.org
27.54.117.72,id.pool.ntp.org
27.100.36.46,0.au.pool.ntp.org
27.100.36.46,0.oceania.pool.ntp.org
27.100.36.46,3.au.pool.ntp.org
27.100.36.46,au.pool.ntp.org
27.100.36.46,oceania.pool.ntp.org
27.114.150.10,0.mv.pool.ntp.org
27.114.150.10,1.mv.pool.ntp.org
27.114.150.10,2.mv.pool.ntp.org
27.114.150.10,mv.pool.ntp.org
27.114.150.11,0.mv.pool.ntp.org
27.114.150.11,1.mv.pool.ntp.org
27.114.150.11,2.mv.pool.ntp.org
27.114.150.11,3.mv.pool.ntp.org
27.114.150.11,mv.pool.ntp.org
27.114.150.12,0.mv.pool.ntp.org
27.114.150.12,1.mv.pool.ntp.org
27.114.150.12,2.mv.pool.ntp.org
27.114.150.12,3.mv.pool.ntp.org
27.114.150.12,mv.pool.ntp.org
27.114.150.13,0.asia.pool.ntp.org
27.114.150.13,0.mv.pool.ntp.org
27.114.150.13,1.mv.pool.ntp.org
27.114.150.13,2.mv.pool.ntp.org
27.114.150.13,3.mv.pool.ntp.org
27.114.150.13,mv.pool.ntp.org
27.123.245.176,1.europe.pool.ntp.org
27.123.245.176,de.pool.ntp.org
27.123.245.176,europe.pool.ntp.org
27.124.125.250,3.au.pool.ntp.org
27.124.125.250,3.oceania.pool.ntp.org
27.124.125.250,au.pool.ntp.org
27.124.125.250,oceania.pool.ntp.org
27.124.125.251,0.au.pool.ntp.org
27.124.125.251,1.au.pool.ntp.org
27.124.125.251,1.oceania.pool.ntp.org
27.124.125.251,3.au.pool.ntp.org
27.124.125.251,3.oceania.pool.ntp.org
27.124.125.251,au.pool.ntp.org
27.124.125.251,oceania.pool.ntp.org
27.124.125.252,0.au.pool.ntp.org
27.124.125.252,0.oceania.pool.ntp.org
27.124.125.252,au.pool.ntp.org
27.124.125.252,oceania.pool.ntp.org
31.3.128.55,0.europe.pool.ntp.org
31.3.128.55,2.ch.pool.ntp.org
31.3.128.55,ch.pool.ntp.org
31.3.128.55,europe.pool.ntp.org
31.14.40.58,0.europe.pool.ntp.org
31.14.40.58,0.ro.pool.ntp.org
31.14.40.58,1.europe.pool.ntp.org
31.14.40.58,2.ro.pool.ntp.org
31.14.40.58,europe.pool.ntp.org
31.14.40.58,ro.pool.ntp.org
31.14.41.138,0.europe.pool.ntp.org
31.14.41.138,0.ro.pool.ntp.org
31.14.41.138,1.europe.pool.ntp.org
31.14.41.138,1.ro.pool.ntp.org
31.14.41.138,3.europe.pool.ntp.org
31.14.41.138,ro.pool.ntp.org
31.14.134.237,1.it.pool.ntp.org
31.56.211.153,0.ae.pool.ntp.org
31.56.211.153,1.ae.pool.ntp.org
31.56.211.153,2.ae.pool.ntp.org
31.56.211.153,3.ae.pool.ntp.org
31.56.211.153,ae.pool.ntp.org
31.57.56.239,0.ie.pool.ntp.org
31.57.56.239,2.europe.pool.ntp.org
31.57.56.239,ie.pool.ntp.org
31.57.158.35,2.lv.pool.ntp.org
31.70.84.16,0.de.pool.ntp.org
31.70.84.16,0.europe.pool.ntp.org
31.70.84.16,1.europe.pool.ntp.org
31.70.84.16,3.de.pool.ntp.org
31.70.84.16,de.pool.ntp.org
31.70.84.16,europe.pool.ntp.org
31.70.111.17,2.de.pool.ntp.org
31.70.111.17,2.europe.pool.ntp.org
31.70.111.17,3.de.pool.ntp.org
31.70.111.17,de.pool.ntp.org
31.70.111.17,europe.pool.ntp.org
31.121.161.188,0.europe.pool.ntp.org
31.121.161.188,0.gb.pool.ntp.org
31.121.161.188,1.europe.pool.ntp.org
31.121.161.188,1.uk.pool.ntp.org
31.121.161.188,2.gb.pool.ntp.org
31.121.161.188,2.uk.pool.ntp.org
31.121.161.188,europe.pool.ntp.org
31.121.161.188,gb.pool.ntp.org
31.121.161.188,uk.pool.ntp.org
31.130.200.50,1.europe.pool.ntp.org
31.130.200.50,2.europe.pool.ntp.org
31.130.200.50,by.pool.ntp.org
31.130.200.50,europe.pool.ntp.org
31.131.0.123,0.europe.pool.ntp.org
31.131.0.123,1.md.pool.ntp.org
31.131.0.123,2.europe.pool.ntp.org
31.131.0.123,3.europe.pool.ntp.org
31.131.0.123,3.md.pool.ntp.org
31.131.0.123,europe.pool.ntp.org
31.131.0.123,md.pool.ntp.org
31.133.97.13,0.europe.pool.ntp.org
31.133.97.13,1.europe.pool.ntp.org
31.133.97.13,2.ua.pool.ntp.org
31.133.97.13,3.ua.pool.ntp.org
31.133.97.13,europe.pool.ntp.org
31.133.97.13,ua.pool.ntp.org
31.135.73.5,2.ru.pool.ntp.org
31.170.8.123,0.fr.pool.ntp.org
31.186.134.105,0.europe.pool.ntp.org
31.186.134.105,1.ru.pool.ntp.org
31.186.134.105,2.europe.pool.ntp.org
31.186.134.105,3.ru.pool.ntp.org
31.186.134.105,ru.pool.ntp.org
31.192.180.102,1.ru.pool.ntp.org
31.192.180.102,europe.pool.ntp.org
31.192.180.102,ru.pool.ntp.org
31.207.113.74,1.it.pool.ntp.org
31.207.113.74,2.it.pool.ntp.org
31.209.85.242,0.de.pool.ntp.org
31.209.85.242,0.europe.pool.ntp.org
31.209.85.242,2.de.pool.ntp.org
31.209.85.242,2.europe.pool.ntp.org
31.209.85.242,de.pool.ntp.org
31.209.85.242,europe.pool.ntp.org
31.209.85.243,1.de.pool.ntp.org
31.209.85.243,3.de.pool.ntp.org
31.209.85.243,de.pool.ntp.org
34.91.86.193,europe.pool.ntp.org
34.127.64.225,2.us.pool.ntp.org
34.147.28.4,1.nl.pool.ntp.org
34.147.28.4,europe.pool.ntp.org
34.147.28.4,nl.pool.ntp.org
35.207.30.101,1.us.pool.ntp.org
35.207.30.101,3.north-america.pool.ntp.org
35.208.123.65,0.north-america.pool.ntp.org
35.208.123.65,2.north-america.pool.ntp.org
35.212.206.149,0.north-america.pool.ntp.org
37.29.4.254,0.ru.pool.ntp.org
37.29.4.254,europe.pool.ntp.org
37.29.4.254,ru.pool.ntp.org
